attack_process_id,episode_id,removed_weeks,remaining_weeks,spearman_without_event
AX01_RAW_RSP_RECOVERY,E014,0,404,0.18128065908327803
AX01_RAW_RSP_RECOVERY,E017,0,404,0.18128065908327803
AX01_RAW_RSP_RECOVERY,E022,44,360,0.13747019652929418
AX01_RAW_RSP_RECOVERY,E024,32,372,0.17832765678610996
AX01_RAW_RSP_RECOVERY,E025,33,371,0.14454371770257346
AX01_RAW_RSP_RECOVERY,E028,29,375,0.2199959039708727
AX02_RSP_A4_MONOTONE,E014,0,404,0.18993642204431624
AX02_RSP_A4_MONOTONE,E017,0,404,0.18993642204431624
AX02_RSP_A4_MONOTONE,E022,44,360,0.16442208864765456
AX02_RSP_A4_MONOTONE,E024,32,372,0.19906532949819078
AX02_RSP_A4_MONOTONE,E025,33,371,0.16449174236314998
AX02_RSP_A4_MONOTONE,E028,29,375,0.22408008393944578
