attack_arm_id,execution_year,active_log_return,positive
A4__RV21_LVL,2009,-0.033410877416761686,False
A4__RV21_LVL,2010,-0.008317651054732964,False
A4__RV21_LVL,2011,0.014181138826494199,True
A4__RV21_LVL,2012,0.021054067158470136,True
A4__RV21_LVL,2013,-0.01616168621466114,False
A4__RV21_LVL,2014,-0.027703701117125088,False
A4__RV21_LVL,2015,-0.06377498615115963,False
A4__RV21_LVL,2016,-0.03525628703574635,False
A4__RV21_LVL,2017,0.058612413184050416,True
A4__RV21_LVL,2018,0.022019096613261707,True
A4__RV21_LVL,2019,-0.060557295054441934,False
A4__RV21_LVL,2020,-0.043842011820505705,False
A4__RV21_LVL,2021,-0.025465190679933414,False
A4__RV126_LVL,2009,-0.018794484053200482,False
A4__RV126_LVL,2010,-0.01284715490151717,False
A4__RV126_LVL,2011,-0.0015552155014937619,False
A4__RV126_LVL,2012,-0.013634864165784716,False
A4__RV126_LVL,2013,-0.014903975559156957,False
A4__RV126_LVL,2014,0.02767566059032419,True
A4__RV126_LVL,2015,-0.05843247933718523,False
A4__RV126_LVL,2016,-0.016458208343430952,False
A4__RV126_LVL,2017,0.07968470564414673,True
A4__RV126_LVL,2018,-0.0453331627779727,False
A4__RV126_LVL,2019,-0.02071431700179223,False
A4__RV126_LVL,2020,-0.05682760313908461,False
A4__RV126_LVL,2021,-0.05490683089981574,False
A4__RV_RATIO_LVL,2009,0.021136508133956705,True
A4__RV_RATIO_LVL,2010,0.004477161952003698,True
A4__RV_RATIO_LVL,2011,0.031081626902284176,True
A4__RV_RATIO_LVL,2012,0.02321898349828755,True
A4__RV_RATIO_LVL,2013,-0.03982918636579808,False
A4__RV_RATIO_LVL,2014,-0.0284298830841482,False
A4__RV_RATIO_LVL,2015,-0.0005212176511171195,False
A4__RV_RATIO_LVL,2016,-0.02786420114410744,False
A4__RV_RATIO_LVL,2017,-0.015915374377091885,False
A4__RV_RATIO_LVL,2018,0.01594713999425224,True
A4__RV_RATIO_LVL,2019,-0.034916690809799464,False
A4__RV_RATIO_LVL,2020,0.04935584537677898,True
A4__RV_RATIO_LVL,2021,-0.04946509191676519,False
A4__DOWNSIDE_VAR63_LVL,2009,0.04104091118411278,True
A4__DOWNSIDE_VAR63_LVL,2010,0.017540378545040432,True
A4__DOWNSIDE_VAR63_LVL,2011,0.024839374542151675,True
A4__DOWNSIDE_VAR63_LVL,2012,-0.01454544828603431,False
A4__DOWNSIDE_VAR63_LVL,2013,-0.01199273966814629,False
A4__DOWNSIDE_VAR63_LVL,2014,-0.033958995439113425,False
A4__DOWNSIDE_VAR63_LVL,2015,-0.04133020533034789,False
A4__DOWNSIDE_VAR63_LVL,2016,-0.03533496906792431,False
A4__DOWNSIDE_VAR63_LVL,2017,0.029027841767163155,True
A4__DOWNSIDE_VAR63_LVL,2018,-0.004301945813234332,False
