attack_process_id,outer_year,weeks,spearman_a4,mean_a4
AX01_RAW_RSP_RECOVERY,2014,52,-0.005037138222487833,0.009932969520971046
AX01_RAW_RSP_RECOVERY,2015,52,0.439426278493981,-0.002530488964019913
AX01_RAW_RSP_RECOVERY,2016,52,-0.02527106633654913,0.01374475890799916
AX01_RAW_RSP_RECOVERY,2017,52,0.37121147443012037,0.016472489157495575
AX01_RAW_RSP_RECOVERY,2018,53,0.23439767779390422,-0.004935964101841604
AX01_RAW_RSP_RECOVERY,2019,52,0.16989669597882692,0.016898069854201867
AX01_RAW_RSP_RECOVERY,2020,52,-0.05011525655254845,0.012781485524948491
AX01_RAW_RSP_RECOVERY,2021,39,0.34979757085020247,0.01684478010953302
AX02_RSP_A4_MONOTONE,2014,52,-0.12458515763991254,0.009932969520971046
AX02_RSP_A4_MONOTONE,2015,52,0.39126185663953456,-0.002530488964019913
AX02_RSP_A4_MONOTONE,2016,52,0.06952437812713193,0.01374475890799916
AX02_RSP_A4_MONOTONE,2017,52,0.31758864187800584,0.016472489157495575
AX02_RSP_A4_MONOTONE,2018,53,0.31321575209705604,-0.004935964101841604
AX02_RSP_A4_MONOTONE,2019,52,0.1465117238866617,0.016898069854201867
AX02_RSP_A4_MONOTONE,2020,52,-0.0672771626618713,0.012781485524948491
AX02_RSP_A4_MONOTONE,2021,39,0.3533799894393035,0.01684478010953302
