process_id,frequency,economic_mean_increment,economic_p,economic_q,beats_raw_XS003
STATIC_EQ10,weekly,-0.003221173490931899,0.9994001199760048,1.0,False
STATIC_DIM5,weekly,-0.002987858472944717,0.9972005598880224,1.0,False
FO_RIDGE_A01,weekly,-0.0028872134350024846,0.9874025194961008,1.0,False
FO_RIDGE_A1,weekly,-0.0024822940434425476,0.9786042791441711,1.0,False
FO_RIDGE_A10,weekly,-0.002733071352073862,0.9864027194561088,1.0,False
FO_RIDGE_A100,weekly,-0.002686383672183975,0.9932013597280543,1.0,False
FO_LGBM_D1_N50,weekly,-0.0031684167062223374,0.9984003199360127,1.0,False
FO_LGBM_D1_N100,weekly,-0.0025500271019242844,0.9972005598880224,1.0,False
FO_LGBM_D2_N50,weekly,-0.0023577143976069087,0.9944011197760448,1.0,False
FO_LGBM_D2_N100,weekly,-0.0023695654148770617,0.9898020395920816,1.0,False
FS_RIDGE_A01_S2,weekly,-0.002310936511752416,0.9856028794241152,1.0,False
FS_RIDGE_A1_S2,weekly,-0.002301782236653788,0.9858028394321136,1.0,False
FS_RIDGE_A10_S2,weekly,-0.002261380136439757,0.9838032393521295,1.0,False
FS_RIDGE_A100_S2,weekly,-0.0030585776787885135,0.999000199960008,1.0,False
FS_RIDGE_A01_S1,weekly,-0.002723122974618426,0.9926014797040592,1.0,False
FS_RIDGE_A1_S1,weekly,-0.0024108457194607752,0.982003599280144,1.0,False
FS_RIDGE_A10_S1,weekly,-0.00242168115357871,0.989002199560088,1.0,False
FS_RIDGE_A100_S1,weekly,-0.0028425954451888513,0.9972005598880224,1.0,False
FS_RIDGE_A01_S6,weekly,-0.0031007097949710947,0.9946010797840432,1.0,False
FS_RIDGE_A1_S6,weekly,-0.0034662581292931125,0.9976004799040192,1.0,False
FS_RIDGE_A10_S6,weekly,-0.002869451483592378,0.9870025994801039,1.0,False
FS_RIDGE_A100_S6,weekly,-0.0033926667039515346,0.9986002799440112,1.0,False
FS_RIDGE_A01_S5,weekly,-0.004186320389132929,0.9988002399520096,1.0,False
FS_RIDGE_A1_S5,weekly,-0.004529780767183886,0.9992001599680064,1.0,False
FS_RIDGE_A10_S5,weekly,-0.004536391351312919,0.9992001599680064,1.0,False
FS_RIDGE_A100_S5,weekly,-0.004433115628218273,1.0,1.0,False
FS_LGBM_D2_N50_S2,weekly,,1.0,1.0,False
FS_LGBM_D2_N100_S2,weekly,,1.0,1.0,False
FS_LGBM_D2_N50_S1,weekly,,1.0,1.0,False
FS_LGBM_D2_N100_S1,weekly,,1.0,1.0,False
FS_LGBM_D2_N50_S6,weekly,-0.002913933264395145,0.9942011597680463,1.0,False
FS_LGBM_D2_N100_S6,weekly,,1.0,1.0,False
FS_LGBM_D2_N50_S5,weekly,-0.003675342122218097,0.998000399920016,1.0,False
FS_LGBM_D2_N100_S5,weekly,,1.0,1.0,False
STATIC_EQ10,monthly,-0.014040754403617775,0.999000199960008,0.999000199960008,False
STATIC_DIM5,monthly,-0.013621428410553138,0.9988002399520096,0.999000199960008,False
FO_RIDGE_A01,monthly,-0.009015107589109296,0.9132173565286943,0.999000199960008,False
FO_RIDGE_A1,monthly,-0.007344329267798611,0.8892221555688862,0.999000199960008,False
FO_RIDGE_A10,monthly,-0.00680666196204961,0.8864227154569086,0.999000199960008,False
FO_RIDGE_A100,monthly,-0.006122441352502742,0.8590281943611278,0.999000199960008,False
FO_LGBM_D1_N50,monthly,-0.01105402027833791,0.9652069586082783,0.999000199960008,False
FO_LGBM_D1_N100,monthly,-0.008478678130789867,0.9336132773445311,0.999000199960008,False
FO_LGBM_D2_N50,monthly,-0.008199087748331762,0.9316136772645471,0.999000199960008,False
FO_LGBM_D2_N100,monthly,-0.00914429846459996,0.9544091181763648,0.999000199960008,False
FS_RIDGE_A01_S2,monthly,-0.008086165290987985,0.9292141571685663,0.999000199960008,False
FS_RIDGE_A1_S2,monthly,-0.010511315186711542,0.9796040791841631,0.999000199960008,False
FS_RIDGE_A10_S2,monthly,-0.011217318981690977,0.9854029194161168,0.999000199960008,False
FS_RIDGE_A100_S2,monthly,-0.009467455800302236,0.9718056388722256,0.999000199960008,False
FS_RIDGE_A01_S1,monthly,-0.007765272315253156,0.9182163567286543,0.999000199960008,False
FS_RIDGE_A1_S1,monthly,-0.009227741985158282,0.9626074785042992,0.999000199960008,False
FS_RIDGE_A10_S1,monthly,-0.008634891587089865,0.9654069186162767,0.999000199960008,False
FS_RIDGE_A100_S1,monthly,-0.007338629615981004,0.9206158768246351,0.999000199960008,False
FS_RIDGE_A01_S6,monthly,-0.006603969799725297,0.8008398320335933,0.999000199960008,False
FS_RIDGE_A1_S6,monthly,-0.00720943120588092,0.8180363927214557,0.999000199960008,False
FS_RIDGE_A10_S6,monthly,-0.00948290199518375,0.8782243551289742,0.999000199960008,False
FS_RIDGE_A100_S6,monthly,-0.011706239665951348,0.9254149170165967,0.999000199960008,False
FS_RIDGE_A01_S5,monthly,-0.011638385479949333,0.9614077184563088,0.999000199960008,False
FS_RIDGE_A1_S5,monthly,-0.011964743577746944,0.9548090381923615,0.999000199960008,False
FS_RIDGE_A10_S5,monthly,-0.010644822305059237,0.9082183563287343,0.999000199960008,False
FS_RIDGE_A100_S5,monthly,-0.008198785572396927,0.8430313937212558,0.999000199960008,False
FS_LGBM_D2_N50_S2,monthly,-0.009965335969851316,0.9712057588482303,0.999000199960008,False
FS_LGBM_D2_N100_S2,monthly,-0.010819975702309975,0.9818036392721455,0.999000199960008,False
FS_LGBM_D2_N50_S1,monthly,-0.009721410363754984,0.9688062387522496,0.999000199960008,False
FS_LGBM_D2_N100_S1,monthly,-0.012064064528398595,0.9906018796240752,0.999000199960008,False
FS_LGBM_D2_N50_S6,monthly,-0.009920187804707931,0.9624075184963007,0.999000199960008,False
FS_LGBM_D2_N100_S6,monthly,-0.011008023813282024,0.9696060787842431,0.999000199960008,False
