attack_arm_id,execution_year,weeks,spearman_a4,mean_a4
A4__RV21_LVL,2005,52,-0.18355673183642104,0.004365391960692367
A4__RV21_LVL,2006,52,0.34679416033467086,0.006313012425426586
A4__RV21_LVL,2007,53,-0.10796645702306079,-0.005652030456473077
A4__RV21_LVL,2008,52,0.007939895842226586,-0.033552100486821966
A4__RV21_LVL,2009,52,-0.1589686672927516,0.02153353110060361
A4__RV21_LVL,2010,52,-0.12797746094083495,0.011027283193251478
A4__RV21_LVL,2011,52,-0.1406983693332195,0.0025752321173917953
A4__RV21_LVL,2012,53,-0.11111111111111109,0.011747689594186738
A4__RV21_LVL,2013,52,-0.36310082813967387,0.017835034986506636
A4__RV21_LVL,2014,52,-0.5121659694356697,0.009932969520971046
A4__RV21_LVL,2015,52,-0.27900623239136,-0.002530488964019913
A4__RV21_LVL,2016,52,-0.22308546059933404,0.01374475890799916
A4__RV21_LVL,2017,52,-0.03073508067958678,0.016472489157495575
A4__RV21_LVL,2018,53,-0.13384937913239797,-0.004935964101841604
A4__RV21_LVL,2019,52,-0.46870998036369843,0.016898069854201867
A4__RV21_LVL,2020,52,-0.5444378041492358,0.012781485524948491
A4__RV21_LVL,2021,48,-0.5626356925749023,0.017723019859471202
A4__RV126_LVL,2005,52,-0.2575770511397592,0.004365391960692367
A4__RV126_LVL,2006,52,-0.592930931443695,0.006313012425426586
A4__RV126_LVL,2007,53,0.2299629092081922,-0.005652030456473077
A4__RV126_LVL,2008,52,0.05822590284299496,-0.033552100486821966
A4__RV126_LVL,2009,52,-0.19072825066165797,0.02153353110060361
A4__RV126_LVL,2010,52,-0.327926235806369,0.011027283193251478
A4__RV126_LVL,2011,52,-0.2895073849568855,0.0025752321173917953
A4__RV126_LVL,2012,53,0.08603451056281244,0.011747689594186738
A4__RV126_LVL,2013,52,-0.3577221890207462,0.017835034986506636
A4__RV126_LVL,2014,52,-0.23162298301033038,0.009932969520971046
A4__RV126_LVL,2015,52,-0.08025271066336548,-0.002530488964019913
A4__RV126_LVL,2016,52,-0.07871595662938616,0.01374475890799916
A4__RV126_LVL,2017,52,0.11653718091009989,0.016472489157495575
A4__RV126_LVL,2018,53,-0.503870343492985,-0.004935964101841604
A4__RV126_LVL,2019,52,-0.2513446597797319,0.016898069854201867
A4__RV126_LVL,2020,52,-0.4050200631776658,0.012781485524948491
A4__RV126_LVL,2021,48,-0.21689101172383848,0.017723019859471202
A4__RV_RATIO_LVL,2005,52,-0.1809954751131222,0.004365391960692367
A4__RV_RATIO_LVL,2006,52,0.434986766840263,0.006313012425426586
A4__RV_RATIO_LVL,2007,53,-0.32760845024995966,-0.005652030456473077
A4__RV_RATIO_LVL,2008,52,0.04354136429608128,-0.033552100486821966
A4__RV_RATIO_LVL,2009,52,-0.03073508067958678,0.02153353110060361
A4__RV_RATIO_LVL,2010,52,-0.0311619568001366,0.011027283193251478
A4__RV_RATIO_LVL,2011,52,0.026722445146418503,0.0025752321173917953
A4__RV_RATIO_LVL,2012,53,-0.07595549104983067,0.011747689594186738
A4__RV_RATIO_LVL,2013,52,-0.3298044907367882,0.017835034986506636
A4__RV_RATIO_LVL,2014,52,-0.47912575770511395,0.009932969520971046
A4__RV_RATIO_LVL,2015,52,-0.3147784512934346,-0.002530488964019913
A4__RV_RATIO_LVL,2016,52,-0.19670451634935537,0.01374475890799916
A4__RV_RATIO_LVL,2017,52,-0.12387945018355671,0.016472489157495575
A4__RV_RATIO_LVL,2018,53,0.18343815513626832,-0.004935964101841604
A4__RV_RATIO_LVL,2019,52,-0.35063604541961924,0.016898069854201867
A4__RV_RATIO_LVL,2020,52,-0.18398360795697088,0.012781485524948491
A4__RV_RATIO_LVL,2021,48,-0.46808510638297873,0.017723019859471202
A4__DOWNSIDE_VAR63_LVL,2005,52,-0.2676513275847349,0.004365391960692367
A4__DOWNSIDE_VAR63_LVL,2006,52,0.18270297959532145,0.006313012425426586
A4__DOWNSIDE_VAR63_LVL,2007,53,-0.5056442509272698,-0.005652030456473077
A4__DOWNSIDE_VAR63_LVL,2008,52,-0.14957739264065567,-0.033552100486821966
A4__DOWNSIDE_VAR63_LVL,2009,52,-0.16690856313497823,0.02153353110060361
A4__DOWNSIDE_VAR63_LVL,2010,52,-0.022624434389140274,0.011027283193251478
A4__DOWNSIDE_VAR63_LVL,2011,52,-0.011269529582515153,0.0025752321173917953
A4__DOWNSIDE_VAR63_LVL,2012,53,-0.5154007418158362,0.011747689594186738
A4__DOWNSIDE_VAR63_LVL,2013,52,-0.14317425083240842,0.017835034986506636
A4__DOWNSIDE_VAR63_LVL,2014,52,-0.4003244258516178,0.009932969520971046
A4__DOWNSIDE_VAR63_LVL,2015,52,-0.19149662767864764,-0.002530488964019913
A4__DOWNSIDE_VAR63_LVL,2016,52,-0.32169384444634164,0.01374475890799916
A4__DOWNSIDE_VAR63_LVL,2017,52,0.19883889695210447,0.016472489157495575
A4__DOWNSIDE_VAR63_LVL,2018,53,-0.11473955813578456,-0.004935964101841604
A4__DOWNSIDE_VAR63_LVL,2019,52,-0.31358319815589514,0.016898069854201867
A4__DOWNSIDE_VAR63_LVL,2020,52,-0.24519764364381455,0.012781485524948491
A4__DOWNSIDE_VAR63_LVL,2021,48,-0.381133304385584,0.017723019859471202
A4__RET21_LVL,2005,52,-0.35242892512592844,0.004365391960692367
A4__RET21_LVL,2006,52,0.27883548194314006,0.006313012425426586
A4__RET21_LVL,2007,53,-0.29922593130140296,-0.005652030456473077
A4__RET21_LVL,2008,52,-0.1025356441560659,-0.033552100486821966
A4__RET21_LVL,2009,52,0.06044565866985401,0.02153353110060361
A4__RET21_LVL,2010,52,-0.13301459916332278,0.011027283193251478
A4__RET21_LVL,2011,52,-0.332621873132417,0.0025752321173917953
A4__RET21_LVL,2012,53,0.23713917110143526,0.011747689594186738
A4__RET21_LVL,2013,52,-0.45675744898830356,0.017835034986506636
A4__RET21_LVL,2014,52,-0.5605737215060189,0.009932969520971046
A4__RET21_LVL,2015,52,-0.11081704089473234,-0.002530488964019913
A4__RET21_LVL,2016,52,0.02049005378639119,0.01374475890799916
A4__RET21_LVL,2017,52,-0.30863143515751723,0.016472489157495575
A4__RET21_LVL,2018,53,-0.2695532978551846,-0.004935964101841604
A4__RET21_LVL,2019,52,-0.45368394092034486,0.016898069854201867
A4__RET21_LVL,2020,52,-0.05515239477503628,0.012781485524948491
A4__RET21_LVL,2021,48,-0.40642640034737304,0.017723019859471202
A4__RET126_LVL,2005,52,-0.3925552804576112,0.004365391960692367
A4__RET126_LVL,2006,52,-0.3245966020660804,0.006313012425426586
A4__RET126_LVL,2007,53,-0.03410740203193033,-0.005652030456473077
A4__RET126_LVL,2008,52,-0.40305643302313665,-0.033552100486821966
A4__RET126_LVL,2009,52,-0.14360112695295824,0.02153353110060361
A4__RET126_LVL,2010,52,-0.3391103901647742,0.011027283193251478
A4__RET126_LVL,2011,52,-0.20754716981132074,0.0025752321173917953
A4__RET126_LVL,2012,53,-0.38977584260603126,0.011747689594186738
A4__RET126_LVL,2013,52,-0.3708699735336805,0.017835034986506636
A4__RET126_LVL,2014,52,-0.4588918295910527,0.009932969520971046
A4__RET126_LVL,2015,52,-0.060616409118073936,-0.002530488964019913
A4__RET126_LVL,2016,52,-0.3332194997011867,0.01374475890799916
A4__RET126_LVL,2017,52,-0.3978485443524289,0.016472489157495575
A4__RET126_LVL,2018,53,-0.33575229801644896,-0.004935964101841604
A4__RET126_LVL,2019,52,-0.49816443268163574,0.016898069854201867
A4__RET126_LVL,2020,52,-0.3866643899940237,0.012781485524948491
A4__RET126_LVL,2021,48,-0.18584455058619193,0.017723019859471202
A4__SMA_GAP_LVL,2005,52,-0.327755485358149,0.004365391960692367
A4__SMA_GAP_LVL,2006,52,-0.30589942798599845,0.006313012425426586
A4__SMA_GAP_LVL,2007,53,0.11643283341396549,-0.005652030456473077
A4__SMA_GAP_LVL,2008,52,-0.15717578758644238,-0.033552100486821966
A4__SMA_GAP_LVL,2009,52,-0.0004268761205498164,0.02153353110060361
A4__SMA_GAP_LVL,2010,52,-0.23281823614786987,0.011027283193251478
A4__SMA_GAP_LVL,2011,52,-0.19337488260906685,0.0025752321173917953
A4__SMA_GAP_LVL,2012,53,-0.6486856958555073,0.011747689594186738
A4__SMA_GAP_LVL,2013,52,-0.2732860923759925,0.017835034986506636
A4__SMA_GAP_LVL,2014,52,-0.03611371979851447,0.009932969520971046
A4__SMA_GAP_LVL,2015,52,0.10151114146674635,-0.002530488964019913
A4__SMA_GAP_LVL,2016,52,-0.2824212413557585,0.01374475890799916
A4__SMA_GAP_LVL,2017,52,-0.223256211047554,0.016472489157495575
A4__SMA_GAP_LVL,2018,53,-0.20932107724560553,-0.004935964101841604
A4__SMA_GAP_LVL,2019,52,-0.25851617860496884,0.016898069854201867
A4__SMA_GAP_LVL,2020,52,-0.2663706992230854,0.012781485524948491
A4__SMA_GAP_LVL,2021,48,0.13808076422058185,0.017723019859471202
A4__DRAWDOWN252_LVL,2005,52,-0.49777934159994647,0.004365391960692367
A4__DRAWDOWN252_LVL,2006,52,-0.12558039910752733,0.006313012425426586
A4__DRAWDOWN252_LVL,2007,53,-0.2905724854327931,-0.005652030456473077
A4__DRAWDOWN252_LVL,2008,52,-0.05190813625885768,-0.033552100486821966
A4__DRAWDOWN252_LVL,2009,52,-0.22133999279336983,0.02153353110060361
A4__DRAWDOWN252_LVL,2010,52,-0.24103477566320772,0.011027283193251478
A4__DRAWDOWN252_LVL,2011,52,-0.3554834625495843,0.0025752321173917953
A4__DRAWDOWN252_LVL,2012,53,-0.20726134275679262,0.011747689594186738
A4__DRAWDOWN252_LVL,2013,52,-0.4036082039196919,0.017835034986506636
A4__DRAWDOWN252_LVL,2014,52,-0.4897100752588087,0.009932969520971046
A4__DRAWDOWN252_LVL,2015,52,-0.3770926206526705,-0.002530488964019913
A4__DRAWDOWN252_LVL,2016,52,-0.37148909285384446,0.01374475890799916
A4__DRAWDOWN252_LVL,2017,52,-0.04165171277126273,0.016472489157495575
A4__DRAWDOWN252_LVL,2018,53,-0.21489071684085967,-0.004935964101841604
